PointOfSale;Product;Date;Stock
121017;17240503103734;2019-08-17;2
121017;17240503103734;2019-08-18;2
121017;17240503103734;2019-08-19;2
121017;17240503103734;2019-08-20;2
121017;17240503103734;2019-08-21;2
121017;17240503103734;2019-08-22;2
121017;17240503103734;2019-07-27;1
121017;17240503103734;2019-07-28;1
121017;17240503103734;2019-07-29;1
121017;17240503103734;2019-07-30;1
121017;17240503103734;2019-07-31;1
121017;17240503103734;2019-08-01;1
121017;17240503103734;2019-08-02;1
121017;17240503103734;2019-08-03;1
121017;17240503103734;2019-08-04;1
121017;17240503103734;2019-08-05;1
121017;17240503103734;2019-08-06;1
121017;17240503103734;2019-08-07;1
121017;17240503103734;2019-08-08;1
121017;17240503103734;2019-08-09;1
121017;17240503103734;2019-08-10;1
121017;17240503103734;2019-08-11;1
121017;17240503103734;2019-08-12;1
